valor_fatura_centavos,valor_pago_centavos,inadimplente
15668,0,1
138329,6806,0
26774,2000,0
12129,1300,1
7881,3000,1
19656,1300,0
30209,1804,0
11471,2000,0
31405,0,1
6682,2669,0
17621,1700,0
10380,72024,0
19657,1273,0
277884,10100,0
500,4063,0
22957,1707,1
10171,2,0
10823,1400,1
4820,0,0
28720,0,0
55563,2520,1
15947,0,0
10994,1500,1
28138,2000,0
6805,2000,0
41740,2000,1
1150,1661,0
34708,0,1
14533,3002,0
19200,500,0
38487,5000,0
18519,2000,0
78894,3000,0
142714,7200,0
15389,1270,1
10401,18480,0
13465,20587,0
106202,5300,0
32183,2820,1
9598,1500,0
170646,7800,1
18641,6630,0
9418,0,0
16150,2000,0
9383,37465,0
43629,3790,1
12744,0,1
69455,2600,0
50544,2300,0
69602,2128,0
10827,2500,0
40831,1617,0
47815,2500,0
99891,3700,0
43664,2000,0
179399,0,1
18631,3000,0
99184,3000,1
94635,5400,0
91337,4000,0
27866,1062,0
8289,16585,0
46746,2100,0
93658,0,1
156000,5559,0
143660,5005,0
50120,1781,0
950,950,0
38909,1000,0
147350,11150,0
28144,2000,0
4690,2028,0
28264,2000,1
209495,8000,0
37958,3023,0
4474,0,1
2500,0,1
49005,6000,0
3773,4000,0
28803,1800,0
11391,5000,0
11403,191446,0
13849,40991,0
5890,1500,1
2875,0,0
71650,0,0
89955,7908,0
623,623,0
122264,3541,0
91152,3348,0
146549,7641,0
1203,0,0
46209,1543,0
127794,4317,0
104083,8,0
28864,2000,0
193136,6610,0
59023,45000,0
119287,4400,0
165425,8000,0
9551,5000,0
170263,5520,0
58928,2500,0
68445,0,0
2338,0,0
138765,4772,0
41696,1674,1
10083,1184,0
2178,7300,0
10278,1085,0
27172,1800,1
25932,1800,0
17584,3000,0
48848,1845,0
98428,5500,1
21667,0,1
26443,2000,0
76915,3149,0
1474,1196,0
8608,2000,0
172618,6765,0
41520,0,1
61743,2800,1
7351,3039,0
282849,12000,0
12214,2000,0
133336,5000,0
28951,1765,0
29997,598,0
6313,500,1
78216,2115,0
2827,3527,0
43900,2268,0
13208,1000,1
36560,11028,0
13195,1238,0
114091,12100,1
106989,3910,1
50677,4000,0
5086,5668,0
64276,3500,0
1261,1261,0
260733,20255,0
151594,4523,0
5620,42100,0
259524,8432,0
186004,8100,0
91390,5000,0
45553,6324,0
8985,805,0
4900,393,0
2112,733,0
11461,5877,0
500,0,0
4975,2000,1
32394,23185,0
44635,2000,0
13380,400,1
35068,0,1
62635,6000,0
10492,1600,1
780,0,1
61228,2810,0
36086,2000,1
10635,3007,0
15903,0,1
16931,1300,0
5586,1268,1
15847,1300,0
54216,2000,0
17617,1489,0
3237,5389,1
44980,7,1
38587,5000,0
42409,1700,0
23185,1400,0
8086,3015,0
1360,1301,0
49173,1800,0
19012,1326,1
35845,1500,1
33171,1524,0
149886,5388,1
3359,0,0
15781,5000,1
16976,1300,0
44742,1737,0
164646,7200,0
28768,1524,0
2654,0,0
26487,1500,1
37423,3967,0
76540,8000,0
10379,2255,0
717,3269,1
156753,10000,0
9970,1020,0
4664,1578,0
19849,0,1
725,2968,0
99203,3485,0
74180,3500,0
9267,29600,0
780,0,1
86183,4100,0
118008,5614,0
25561,2134,0
8056,1500,1
7397,2000,0
48322,4692,0
4392,11700,0
30884,0,0
7880,1010,0
181121,7013,0
37586,2000,1
5285,0,1
11446,1600,0
25370,21250,0
157215,6502,0
19410,3000,1
3305,0,0
25344,2000,0
104163,3400,0
10968,2000,0
28494,1750,1
109746,4000,0
45109,2100,0
85492,3500,1
27283,1459,0
98606,4500,0
50456,1432,0
4800,2040,0
171468,0,1
1019,1672,0
48211,1971,0
62122,2000,0
4833,6370,0
43648,3000,0
76383,3400,0
37719,3025,0
230740,1500,0
37350,2000,0
39940,2000,0
16754,1291,0
113203,4200,0
25870,1325,0
209176,11000,1
30788,1759,1
14465,50295,0
20226,0,1
50673,2500,0
21960,1176,0
174971,10000,0
23741,4000,1
39193,4600,1
10064,2000,0
25661,5000,0
50320,1784,0
66087,3120,1
37129,75000,0
137326,6400,0
70613,2006,0
1026,3751,0
10240,0,0
96093,6500,1
4904,5332,0
35757,22372,0
110176,2700,0
23690,1283,0
788,165,0
11732,6653,0
36414,2000,0
12818,17577,0
885,0,0
2727,1679,0
97026,5000,0
2947,4134,0
80540,3933,0
126220,0,0
24505,1800,0
111925,4000,0
57816,5900,1
3223,1220,1
15299,1883,0
43885,2408,1
20867,0,0
4965,51932,0
626,0,0
78780,0,0
51277,10006,0
155493,50706,0
92929,5000,0
41573,0,0
223022,7750,0
8800,0,0
121096,4407,0
1738,1738,0
145499,4751,0
1128,1784,0
3342,9023,0
5719,1043,0
86858,5000,0
19830,0,0
17500,10000,0
10950,1097,1
53916,0,1
90562,3340,0
20375,1089,0
151776,9300,0
41626,5004,0
212954,8000,0
6425,3746,0
17992,0,1
47550,5000,0
31689,10000,0
119951,4375,0
780,0,1
10379,1000,1
36479,2810,0
3860,780,0
4695,0,1
105979,5340,0
158942,5057,0
13562,1500,0
3598,2,0
143072,30000,0
139550,3500,0
10985,2441,0
2569,11662,0
1716,1518,0
6667,2600,0
20441,1700,0
81606,0,1
63505,5000,0
151214,6000,0
27217,1179,0
43098,42000,0
9738,1177,1
83719,5000,0
59998,2152,0
29480,1431,1
44749,2229,0
26277,1700,0
7338,15,0
27918,3145,0
17235,1610,0
6181,12140,0
123306,5000,0
34218,1893,1
2025,0,0
6348,0,1
3931,0,0
1473,1473,0
3829,4374,0
19792,1339,0
507,892,0
30680,100000,0
17957,3000,0
852,1746,0
48784,2194,0
25689,1500,1
928,282,0
45876,1732,0
150345,5300,1
126840,5298,0
25079,100000,0
243952,15521,0
42081,16495,0
10000,893,0
2670,262,0
12118,2000,0
149775,10000,0
17891,1800,0
13687,1600,1
13779,1245,1
24453,0,0
2712,4494,0
6259,2962,1
67671,2141,0
50990,2100,1
27849,2000,0
9979,0,1
65932,2500,0
836,836,1
79816,1600,0
133996,6319,0
49394,3000,0
1528,0,0
99516,10184,1
11306,1069,1
3286,3300,0
89687,4100,0
20433,0,0
9167,200,0
5417,15134,0
49458,2200,0
45648,2000,0
178541,0,1
4457,1400,0
9285,273,0
164576,0,1
36908,0,0
1987,0,0
85993,2922,0
129151,3501,0
3720,396,0
43226,1300,0
3997,0,1
62590,3815,0
144525,43089,0
146022,7000,0
1211,0,0
183887,4000,0
52175,2034,0
17831,1295,0
167390,6000,1
29378,5000,0
18472,2000,0
6902,141,0
82812,2697,0
14655,1600,1
253549,10400,0
89137,0,0
38228,0,1
54268,2425,1
175154,5100,0
49878,1718,0
191759,10051,0
820,820,0
177116,0,0
170146,0,0
178911,6581,0
49792,3444,0
16456,1500,1
131197,7000,0
32355,0,1
31808,1514,0
263842,11021,0
84196,2300,1
154386,10000,0
68370,2682,1
10628,1200,1
598,0,0
13708,9200,1
47908,3000,0
660,660,0
1941,1500,1
7015,500,0
150451,7000,0
50805,2284,1
8746,3108,1
4286,3282,0
44320,2021,0
3588,1505,0
36363,0,0
76412,5000,0
10522,261,1
48491,8000,0
122157,12301,1
178220,10000,1
46509,2000,0
48793,2500,1
11464,1879,0
3245,1864,0
24297,1411,0
47834,1866,0
170619,6063,0
38324,3390,0
8517,6765,0
5440,2000,0
193773,7350,1
296437,25,0
67061,10045,0
5925,11194,0
37129,1602,1
18924,3000,0
4400,3018,0
178069,6496,0
16750,1100,0
15061,10000,0
15556,2000,0
2395,29658,0
144953,6000,0
19111,1286,0
8133,3000,1
9983,43418,0
35117,11051,0
56327,2700,0
29628,1460,0
83134,3969,0
94916,3500,0
19626,1311,1
97719,4500,1
293481,10104,0
70820,1998,0
33928,2000,0
49897,1822,0
20706,1351,0
108075,5014,0
9527,42908,0
55262,2000,0
13070,2000,0
65883,3000,0
6573,8195,0
106852,4000,0
14671,2000,0
15008,3000,0
18872,3500,1
8432,928,0
48108,3000,0
3334,1500,0
30633,7000,1
40439,0,1
92909,6000,0
23693,4257,0
4536,0,1
3621,1130,0
19458,1552,0
27997,1800,0
30077,2809,0
119788,4728,0
14518,1150,0
57802,2960,0
49971,2303,0
46437,1912,0
35871,5000,0
25046,1724,1
40083,5000,0
13060,23008,0
3030,0,0
892,2180,0
7788,1149,0
20933,2700,1
4120,1500,0
7067,1291,1
50162,0,0
58751,3000,0
4459,13485,0
16393,1688,0
40246,2128,0
12750,3155,0
1614,40,0
151160,5526,0
2741,0,0
133714,6560,0
106621,4000,1
12986,1230,0
776,0,0
11536,3419,0
135432,6500,1
23191,2267,0
100613,3600,0
8000,13024,0
7565,28,0
101347,4179,1
7815,4933,0
15629,5402,0
2293,1009,0
47386,4807,1
3706,100000,0
97973,12500,1
52935,2500,0
6121,4391,0
125863,10053,0
122127,10000,0
275855,15000,1
22680,2000,0
3764,11142,0
42391,3000,0
26133,1500,1
10291,19326,0
8319,5056,0
227762,35018,0
5877,1268,0
17531,26588,0
41138,2000,0
56073,4500,0
65199,6532,0
4827,2000,0
936,0,0
45088,2000,1
6261,1000,0
37878,3000,0
18925,1976,1
99876,3000,1
75564,3406,0
14309,1268,0
203621,7464,0
3886,1100,0
87018,3267,0
50122,2027,0
3707,0,1
48971,1754,0
15048,2000,0
2848,7181,0
74829,7017,1
198098,4515,0
1939,333,0
130927,7000,0
98048,3903,0
251986,11000,0
51276,3000,0
45117,1281,0
61223,4003,0
7414,2020,0
48057,2007,0
933,598,0
6890,11002,0
4762,26943,1
1962,82,0
36370,4002,0
12443,2000,0
83762,3200,1
26350,1413,0
6491,4041,0
202139,7000,0
21769,0,0
17543,2100,1
19810,3495,0
1649,1071,0
1242,0,0
42101,2500,1
101556,3481,0
2560,0,1
4911,2000,0
90483,3315,0
54986,1966,0
13680,2019,0
4498,0,0
660,31187,0
8554,1000,1
17631,13184,0
21274,11540,0
4373,1131,0
25184,1800,0
87263,20803,0
4435,805,0
621,11420,0
138363,6000,0
7361,8692,0
192160,20104,0
2730,5606,0
2802,0,0
1876,9814,0
198482,5014,0
3410,1623,0
22148,1550,0
26680,22434,0
30535,84267,0
9330,31745,0
250263,29000,0
68488,3603,0
159715,6000,0
113618,34507,0
19068,1500,1
111098,5600,0
67940,2000,0
39577,3800,1
11848,5687,0
192743,9003,0
3371,2000,0
21489,5,0
142357,5300,0
5345,0,0
46589,2500,0
33147,1672,0
3506,2372,0
35504,5025,0
70492,2806,1
16019,0,0
237066,20000,0
4419,2584,0
220208,9000,0
180517,8022,0
20392,0,1
2245,1794,0
14234,11066,0
647,1222,0
11900,4256,0
1500,3794,0
82559,3500,0
195044,8000,0
133845,7000,0
36267,1587,0
2398,2294,0
24203,1367,0
16090,38710,0
899,0,0
49581,1500,0
57810,2100,0
29003,1500,0
7225,9386,0
73166,3112,0
3474,1974,0
29178,26963,0
1877,0,0
114690,4682,0
6369,5215,0
88176,1354,1
82640,5000,1
1905,2453,0
796,770,0
61785,3000,0
1632,2027,0
1937,0,1
6398,8331,0
5757,3242,0
2936,1676,0
4942,2554,0
96950,3255,0
45514,4854,0
119720,6000,0
19281,6654,0
70122,2431,0
174104,7000,0
6499,0,0
28938,1800,0
9658,8781,0
692,0,0
4343,725,0
9633,2000,0
31708,0,1
5000,0,0
766,243,0
5458,1500,0
16317,0,0
29202,2000,1
2200,0,0
125567,6831,0
25530,15035,0
6940,6200,0
1215,525,0
3102,552,0
15000,18400,0
1417,0,0
15379,3000,1
270553,10900,0
9511,35852,1
5631,404,0
14222,1300,0
5592,0,0
37070,17596,0
132387,11606,0
66212,0,0
40926,3000,1
82397,3004,0
25775,0,0
19594,2000,0
18379,1500,0
24135,0,1
126810,5000,0
19954,1700,1
51254,0,0
80199,3900,0
664,1086,0
1606,1420,0
4302,546,0
217936,8880,0
1148,0,0
29997,2000,0
1726,2800,0
45708,6000,0
276192,11000,0
51232,1900,0
31348,20109,0
45458,2051,1
9168,1166,0
3462,1147,0
20813,1000,0
720,100,1
12546,1500,1
47034,2500,0
51274,4175,0
2003,1086,0
8882,1300,0
102551,5500,0
17996,2100,1
146183,6206,0
7412,945,0
1870,32607,0
6136,9272,0
35865,1546,0
30779,1675,0
17468,32400,0
20793,10053,0
10070,1500,0
14597,1568,1
1358,55071,0
14171,2000,0
78337,4000,0
33077,1554,0
47189,1778,0
172655,10000,0
2400,0,1
2494,1997,0
162439,4000,0
17005,0,1
168376,7648,0
25856,13737,0
132242,5000,0
4370,0,0
34831,5059,0
26310,2728,0
14107,1200,1
500,15338,0
4445,4984,0
28729,2000,0
217638,7506,0
104153,4500,0
64651,2941,0
295786,15000,0
193650,4126,0
1110,24633,0
166295,5771,0
22861,6536,0
8086,21012,0
15276,4800,1
165578,4351,1
163695,7000,0
6763,1651,0
9075,2000,0
2180,251,0
47873,6000,0
124626,3900,0
655,270,0
212647,6000,0
278510,6996,1
2216,2199,0
780,0,1
3300,0,0
44681,2100,0
238902,8135,1
17622,3000,0
35745,13000,0
91176,6000,0
18219,2000,0
92861,3992,0
1201,0,0
60035,2380,1
62809,3018,0
72774,3500,0
31323,1500,0
610,995,0
84488,2871,0
41428,17800,0
7440,10050,0
6071,8023,0
48144,12000,0
70309,20000,0
58634,3000,0
27231,0,1
8201,1000,1
49917,5000,0
24349,9605,0
215013,9600,0
47674,1764,0
66935,13039,0
127510,0,1
18110,0,0
75294,3000,1
10125,1526,0
101060,6000,0
22219,140,1
45902,0,1
87190,3068,0
42215,3092,0
46178,57498,0
49986,23800,1
22472,1330,0
51400,0,0
14950,2065,0
16657,1500,0
195615,9234,0
2380,1750,0
50471,3000,0
15323,0,1
18221,3005,0
125722,12400,0
74349,3400,0
38604,0,1
134558,5185,0
86916,3135,0
68250,6325,1
53237,0,1
17053,2219,1
1400,373,0
93737,3600,0
142904,5200,0
30155,10541,1
236470,9560,0
19978,1594,1
17820,1435,0
231300,9838,0
52332,42898,0
205150,0,0
1344,1200,0
1637,0,0
1912,2768,0
100623,4700,0
26117,1737,0
23258,0,0
50583,2300,0
17377,1360,0
37695,0,0
20059,1641,1
17849,2000,0
40111,2252,0
53173,1324,0
2784,0,1
38661,5000,1
57445,2000,0
41500,0,1
52109,1565,0
13385,1200,0
118425,6000,1
72473,3500,0
88786,3200,0
15451,1600,1
157768,6000,0
57982,0,0
44402,2000,0
48408,1774,0
19583,1300,0
13358,6000,0
33236,1785,0
5118,6783,0
2232,3967,0
69542,2366,0
128656,6000,0
105102,5289,1
88728,0,1
94378,6000,0
50477,3500,1
1507,0,0
69725,3008,0
17822,19855,0
6396,7000,0
69970,4009,0
1568,87,0
295618,13437,0
4577,8400,0
28967,2500,1
44566,2054,0
202442,8211,0
2759,13,0
282674,12200,0
3821,1316,0
186163,9000,1
18486,0,0
40420,0,0
6336,1125,1
25422,1450,1
2347,4252,0
41092,3000,0
2274,7398,0
28991,1300,0
4042,5327,0
6276,16142,0
67544,4025,0
111409,6000,0
28969,1500,0
74917,3028,1
125816,7166,0
179483,8151,1
122806,15,0
2500,0,1
82964,68940,1
10701,0,0
222505,8000,0
3060,150,0
47317,3000,0
3824,0,1
61291,0,1
43459,26137,0
1289,2432,0
116630,0,0
58574,0,1
3752,513,0
13102,5655,0
44052,2000,0
66321,0,0
2416,2230,1
26587,3600,1
20876,2016,0
5423,4133,0
22285,1700,0
56778,20000,0
105976,5400,0
3215,676,0
2276,6626,1
269832,15327,0
1879,69842,0
6023,3632,0
5869,11556,0
48926,2019,0
58127,3000,0
139255,2040,0
63436,2096,0
100281,5000,0
11303,17654,0
106643,3700,0
100037,3607,0
9135,0,0
43828,1947,0
30471,39968,0
6974,1137,0
101138,3400,1
41922,1692,0
4640,18116,0
86513,4000,0
1859,2243,0
860,0,0
23611,1436,0
64932,2365,0
1680,17749,0
4520,1453,0
16400,886,0
1577,1100,0
43548,15000,0
209368,0,1
871,27371,0
236583,10000,0
85235,5000,0
65421,4850,0
12045,1500,0
2533,2997,0
24081,6068,0
10330,0,0
104624,28114,0
58389,20000,0
10683,2500,0
3014,760,0
38945,2511,0
73621,4300,0
2789,2942,0
77347,2384,0
13184,1242,0
33494,2506,1
14417,9000,0
48195,2035,0
79862,3000,0
30128,2000,0
60250,2167,0
16490,3000,1
827,0,0
5682,1000,1
94343,3500,0
15902,2000,0
603,1867,0
5599,1200,0
10208,4972,1
48241,2000,1
51550,0,1
5857,18794,0
31011,2002,0
30011,7000,0
67940,0,1
145728,5002,0
88072,4500,1
7806,1114,1
4091,1300,0
48998,6105,0
14598,2000,0
170717,6401,0
39868,1259,0
6283,0,1
31012,0,1
1294,1058,0
114355,13500,1
61143,3000,1
104252,4510,0
42314,1804,0
166701,5887,0
100226,5200,0
3310,0,0
46803,1772,0
262980,10929,0
30040,0,0
58175,2600,1
69554,4000,0
267475,10506,0
2184,2184,0
7536,1136,1
68773,3500,0
47529,17,1
163327,8200,0
3528,1196,0
227604,7670,0
13877,8422,0
120198,5900,0
48418,5019,0
162820,6024,0
24709,291,0
61231,2800,1
27202,3000,0
209044,7705,0
92590,3251,0
15019,1263,0
187487,16000,1
46717,2500,1
9501,1500,1
9242,1315,0
2178,0,0
189158,6561,0
1236,856,0
11300,0,1
153246,4009,1
92129,3510,0
205495,34700,0
33217,2000,1
39883,3000,0
70185,3000,0
21336,1400,0
22334,3851,0
694,0,0
19796,1507,0
68739,3000,1
77107,20000,0
2024,2017,0
18844,1500,1
137122,6700,0
33759,3500,1
59114,2800,0
580,580,1
9545,1117,0
109424,4032,0
29104,2000,1
49911,1762,0
1525,7430,0
77959,0,0
14658,1258,1
119279,10000,0
45769,2500,0
28194,1500,0
72703,2653,0
25492,3000,0
118287,5700,0
34778,10000,0
139282,4945,1
3016,0,0
198954,7000,0
225043,10000,1
68725,3220,0
170792,5729,0
10156,0,0
184438,3800,0
16361,1285,0
182329,9000,0
15793,1300,0
54051,1972,1
15507,0,1
40247,1800,1
24756,5500,1
193095,6900,0
99259,0,1
69994,2552,0
37097,2000,1
93384,3514,0
120649,6000,1
84052,7100,1
9978,3000,0
39402,2000,0
20916,5000,0
19341,900,1
115527,0,1
184697,8001,0
55829,2000,0
28765,1714,0
25530,1500,0
17049,15000,0
1536,696,1
3740,1100,0
50051,1754,0
130535,6000,1
48413,5000,1
8731,2463,0
27465,3700,0
95544,4200,0
68394,5620,0
11059,0,0
14045,1555,0
50620,1000,0
2364,442,0
1238,376,0
82150,3463,0
2434,3900,0
8298,1250,0
59580,0,1
105014,9000,0
49378,2500,0
53152,1725,0
10598,1571,0
2127,0,0
8508,27049,0
2805,1995,0
1946,1000,0
20193,3250,0
2494,2000,0
3647,2535,0
1863,1863,1
4161,2000,0
51032,30000,0
5527,1000,0
95917,2986,0
50461,2100,0
117328,4117,0
59710,1808,0
21952,6300,1
124146,6000,0
7196,1120,0
3042,41243,0
6185,27821,0
892,6846,0
149957,6000,0
78480,3100,1
2213,5286,0
71006,36448,0
73329,2700,0
14993,1938,0
108668,4322,0
37541,1434,0
25339,1427,0
1250,940,0
3625,398,0
1650,196,0
215050,9029,0
95986,4300,0
4571,4905,0
46857,2000,0
858,885,0
214274,11000,0
74745,2815,0
66301,3500,0
4793,6336,0
776,776,0
18608,2000,0
111204,5600,0
576,3578,0
8756,26,0
81731,4000,0
46911,1748,0
138594,3755,0
988,12961,1
43733,16787,0
11175,14181,0
242422,7757,0
121603,30000,0
23500,0,0
101526,3000,0
47423,3000,0
6089,2400,0
294180,11000,0
7390,2157,0
66604,9293,0
93050,8840,1
626,626,1
3890,4008,0
12724,0,1
56107,53400,0
27873,1441,0
5106,280,0
28701,27078,0
264549,10000,0
22943,1700,0
9172,1172,0
15633,2302,0
93983,5500,1
105373,5700,1
61180,23222,0
52308,0,0
41387,2000,0
52514,2449,0
50312,85387,0
84873,4000,0
32734,1506,0
67423,10000,0
124493,4800,0
16666,62545,0
141137,5481,0
89226,3133,0
3231,9666,0
8812,15234,0
77627,5000,0
832,0,0
1895,0,1
1031,1895,0
277822,6150,0
110819,6000,0
872,3347,0
2080,0,0
30238,2000,1
206245,13126,1
528,0,1
165405,6027,0
11006,4160,0
34483,22864,0
60244,3000,0
46895,7518,0
38137,1934,0
905,3450,0
2435,0,0
99938,3500,0
48872,3688,0
168090,5500,0
1829,2793,0
236883,8636,0
9279,0,0
86179,4000,0
293174,15000,0
986,3939,0
28625,0,0
290122,7100,0
650,2080,0
80297,3410,0
15986,4359,0
19629,1340,0
117287,6500,0
919,2385,0
14149,18734,0
9061,0,1
1933,63201,0
177554,6500,0
10160,0,0
94467,3627,0
51159,3000,0
3855,1040,0
7545,1500,0
50511,1785,0
1650,0,1
20636,1604,1
1386,25125,0
177998,7000,0
85748,4000,0
212751,40000,0
24779,5000,0
101215,5006,0
188853,5003,0
48534,1824,0
9228,1171,0
80351,4000,0
49139,2500,0
2197,3613,0
137266,5212,0
530,0,0
14614,1558,0
4638,323,0
58982,2097,0
101546,3000,0
48931,207000,0
1382,1300,0
237372,10000,0
5249,10000,0
85500,3956,0
27855,1259,0
128213,7000,0
5339,1189,0
1692,2702,0
14829,3000,0
26742,2800,0
48632,4600,0
7950,6691,0
9649,1500,1
59016,0,0
5484,1000,1
6300,0,0
3566,0,1
18646,2000,1
2606,2990,0
6742,3000,0
97190,1787,1
18100,2000,0
1124,18213,0
233770,8100,1
78244,2009,0
29112,43111,0
33075,2000,0
14320,2000,0
28130,1750,0
240725,10022,0
1280,0,0
11179,1300,0
230523,11828,0
3016,12165,0
60121,2454,0
50512,2000,0
196770,10500,0
2400,0,1
255299,9106,1
51350,0,0
50562,6500,0
88903,7000,0
49336,1423,0
100862,367,0
98440,4000,0
19107,10238,0
2445,13053,0
83607,3000,0
95526,5000,0
19628,14594,0
32538,4000,0
71586,3100,1
54952,2600,1
50999,2000,0
159322,7500,0
129548,6000,0
75635,0,1
4206,3980,0
735,51,0
21628,2000,0
7752,1500,1
8802,2000,0
